ASN,Entity
33480,"WEBWERKSAS1 - Web Werks, US"
33724,"BIZNESSHOSTING - VOLICO, US"
33785,"CITYNET, EG"
33891,"CORE-BACKBONE, DE"
34305,"BASEIP, NL"
34971,"PDDA-AS, CZ"
34989,"SERVETHEWORLD-AS, NO"
35017,"SWIFTWAY-AS Netherlands, GB"
35366,"ISPPRO-AS EUserv / KOS-Online / Keepfree, DE"
35415,"WEBZILLA, NL"
35470,"XL-AS, NL"
35662,"REDSTATION European Network, GB"
35908,"VPLSNET - Krypt Technologies, US"
35916,"MULTA-ASN1 - MULTACOM CORPORATION, US"
36024,"COLO4-CO - Colo4, LLC, US"
36114,"VERSAWEB-ASN - Versaweb, LLC, US"
36290,"THECABLE-STKITTS-01 - The Cable of St. Kitts, KN"
36351,"SOFTLAYER - SoftLayer Technologies Inc., US"
36352,"AS-COLOCROSSING - ColoCrossing, US"
36666,"GTCOMM - GloboTech Communications, CA"
36873,"VNL1-AS, NG"
36887,"DOPC-AS, NG"
36920,"KKON, NG"
36970,"interswitch, NG"
37018,"GALAXYBB-AS, NG"
37088,"VDT-AS, NG"
37153,"HETZNER, ZA"
37170,"UNILAG, NG"
37209,"HYPERIA, NG"
37230,"SWIFTTALK, NG"
37248,"PHASE3TEL, NG"
37269,"ICSL, NG"
37280,"BCL, NG"
37308,"COOLLINK, NG"
37347,"NGCOM, NG"
37377,"Futurecom, NG"
37472,"NIGCOMSAT, NG"
37506,"Zinox, NG"
37521,"Internet-Solutions-, NG"
37540,"WINROCK-, NG"
37643,"Ambion-AS, NG"
37661,"NRaE1-AS, NG"
37692,"NetStack-AS, ZA"
37714,"BITFLUX, NG"
38001,"NEWMEDIAEXPRESS-AS-AP NewMedia Express Pte Ltd, SG"
39020,"COMVIVE-AS Madrid - Spain, ES"
39326,"HSO-GROUP, GB"
39351,"ESAB-AS, SE"
39392,"SUPERNETWORK-AS Bilejova 407, CZ"
39572,"ADVANCEDHOSTERS-AS, NL"
40156,"THEOPT-HOU - The Optimal Link Corporation, US"
40244,"TURNKEY-INTERNET - Turnkey Internet Inc., US"
40676,"AS40676 - Psychz Networks, US"
40824,"WZCOM-US - WZ Communications Inc., US"
40861,"PARAD-40-ASN - Paradise Networks LLC, US"
41653,"AQUARAY, FR"
41665,"HOSTING-AS http://hosting.ua, UA"
42160,"LCPDCO LCP AS dc oostkamp, BE"
42331,"FREEHOST, UA"
42473,"ANEXIA-AS A-9020 Klagenfurt, AT"
42695,"CNHAB, SE"
42708,"PORTLANE www.portlane.com, SE"
42730,"EVANZOAS, DE"
